学科名,カテゴリ1,カテゴリ2,カテゴリ3,全体
お茶の水女子大学 理学部 情報科学科,0.53,0.85,0.39,0.60
三重大学 工学部 総合工学科,0.68,0.75,0.11,0.53
九州大学 工学部 電気情報工学科,0.89,0.45,0.06,0.47
九州大学 理学部 物理学科,0.53,0.00,0.00,0.18
九州工業大学 情報工学部 情報・通信工学科,0.58,0.55,0.39,0.51
京都大学 工学部 情報学科,0.63,0.65,0.39,0.56
京都工芸繊維大学 工芸科学部 設計工学域,0.89,0.85,0.56,0.77
佐賀大学 理工学部 理工学科,0.53,0.80,0.33,0.56
信州大学 工学部 電子情報システム工学科,0.68,0.70,0.28,0.56
北海道大学 工学部 情報エレクトロニクス学科,0.58,0.55,0.00,0.39
北見工業大学 工学部 地球未来デザイン工学科,0.74,0.75,0.56,0.68
千葉大学 理学部 数学・情報数理学科,0.32,0.80,0.17,0.44
名古屋大学 情報学部 コンピュータ科学科,0.53,0.60,0.44,0.53
名古屋工業大学 工学部 情報工学科,0.79,0.35,0.22,0.46
和歌山大学 システム工学部 システム工学科,0.74,0.70,0.39,0.61
埼玉大学 工学部 情報工学科,0.68,0.65,0.06,0.47
大分大学 理工学部 共創理工学科,0.63,0.80,0.44,0.63
大阪大学 基礎工学部 情報科学科,0.84,0.50,0.39,0.58
大阪大学 工学部 電子情報工学科,0.53,0.35,0.00,0.30
宇都宮大学 工学部 基盤工学科,0.68,0.70,0.33,0.58
富山大学 工学部 工学科,0.53,0.55,0.33,0.47
山口大学 工学部 知能情報工学科,0.68,0.60,0.28,0.53
山口大学 理学部 物理・情報科学科,0.58,0.65,0.00,0.42
山形大学 工学部 情報・エレクトロニクス学科,0.63,0.70,0.56,0.63
山梨大学 工学部 コンピュータ理工学科,0.89,0.65,0.22,0.60
岐阜大学 工学部 電気電子・情報工学科,0.74,0.75,0.17,0.56
岡山大学 工学部 情報・電気・数理データサイエンス系,0.47,0.65,0.39,0.51
岩手大学 理工学部 システム創成工学科,0.47,0.70,0.06,0.42
島根大学 総合理工学部 知能情報デザイン学科,0.79,0.70,0.28,0.60
弘前大学 理工学部 電子情報工学科,0.58,0.65,0.00,0.42
徳島大学 理工学部 理工学科,0.68,0.30,0.56,0.51
愛媛大学 工学部 工学科,0.68,0.60,0.50,0.60
東京大学 理学部 情報科学科,0.32,0.40,0.11,0.28
東京工業大学 工学院 情報通信系,0.37,0.40,0.00,0.26
東京工業大学 情報理工学院 情報工学系,0.95,0.65,0.28,0.63
東京工業大学 情報理工学院 数理・計算科学系,0.79,0.10,0.39,0.42
東京農工大学 工学部 知能情報システム工学科,0.95,0.65,0.56,0.72
東北大学 工学部 電気情報物理工学科,0.42,0.50,0.17,0.37
横浜国立大学 理工学部 数物・電子情報系学科,0.53,0.80,0.44,0.60
熊本大学 工学部 情報電気工学科,0.84,0.55,0.11,0.51
琉球大学 工学部 工学科,0.63,0.55,0.50,0.56
神戸大学 工学部 情報知能工学科,0.79,0.60,0.00,0.47
福井大学 工学部 電気電子情報工学科,0.79,0.70,0.50,0.67
秋田大学 理工学部 数理・電気電子情報学科,0.89,0.80,0.39,0.70
筑波大学 情報学群 情報メディア創成学類,0.79,0.50,0.06,0.46
筑波大学 情報学群 情報科学類,0.89,0.50,0.22,0.54
筑波技術大学 保健科学部 情報システム学科,0.68,0.60,0.39,0.56
筑波技術大学 産業技術学部 産業情報学科,0.63,0.65,0.33,0.54
群馬大学 情報学部 情報学科,0.58,0.80,0.39,0.60
茨城大学 工学部 情報工学科,0.89,0.50,0.61,0.67
豊橋技術科学大学 工学部 情報・知能工学課程,0.68,0.65,0.22,0.53
長崎大学 情報データ科学部 情報データ科学科,0.68,0.80,0.67,0.72
電気通信大学 情報理工学域 Ⅰ類 （情報系）,0.95,0.45,0.17,0.53
静岡大学 情報学部 情報科学科,0.58,0.30,0.39,0.42
香川大学 創造工学部 創造工学科,0.68,0.80,0.50,0.67
高知大学 理工学部 情報科学科,0.42,0.85,0.44,0.58
鳥取大学 工学部 電気情報系学科,0.84,0.65,0.67,0.72
鹿児島大学 工学部 先進工学科,0.63,0.55,0.33,0.51
